Building & Room,Weekly Hours,Final Enrollment,Total Official Capacity,Time Utilization %,Seat Utilization %,Overall Utilization,,,,,
Fleharty Center,172.67,766,954,36%,80%,58%,,,,,
141,12.67,86,90,16%,96%,56%,,,,,
142,43.33,202,256,54%,79%,67%,,,,,
144,6.67,16,32,8%,50%,29%,,,,,
145,21.67,77,128,27%,60%,44%,,,,,
146,40,168,192,50%,88%,69%,,,,,
147,48.33,217,256,60%,85%,73%,,,,,
Gray Center,99.67,328,595,31%,55%,43%,,,,,
107,50.67,180,270,63%,67%,65%,,,,,
116,25.33,36,80,32%,45%,39%,,,,,
143,16.33,53,45,20%,118%,69%,,,,,
Hurley-McDonald Hall,180.33,530,1264,45%,42%,44%,,,,,
05,35,105,144,44%,73%,59%,,,,,
06,6.67,11,32,8%,34%,21%,,,,,
220,58.33,150,480,73%,31%,52%,,,,,
222,24.67,26,160,31%,16%,24%,,,,,
229,55.67,238,448,70%,53%,62%,,,,,
Jackson Dinsdale Art Center,128.83,269,563,20%,48%,34%,,,,,
101,40.33,92,280,50%,33%,42%,,,,,
107,10.17,26,48,13%,54%,34%,,,,,
109,6.67,20,20,8%,100%,54%,,,,,
110,20,36,72,25%,50%,38%,,,,,
112,16.67,32,64,21%,50%,36%,,,,,
113,8.33,20,28,10%,71%,41%,,,,,
120,20,31,39,25%,79%,52%,,,,,
123,6.67,12,12,8%,100%,54%,,,,,
Kiewit,82.5,374,551,34%,68%,51%,,,,,
113,38.33,184,256,48%,72%,60%,,,,,
116,40,165,270,50%,61%,56%,,,,,
McCormick Hall,140,410,648,44%,63%,54%,,,,,
111,40,102,144,50%,71%,61%,,,,,
220,26.67,60,96,33%,63%,48%,,,,,
221,13.33,30,48,17%,63%,40%,,,,,
224,60,218,360,75%,61%,68%,,,,,
Morrison-Reeves Science Center,368,1404,2602,38%,54%,46%,,,,,
121,36.67,93,270,46%,34%,40%,,,,,
131,38.33,245,320,48%,77%,63%,,,,,
136,16.67,82,96,42%,85%,64%,,,,,
141,16.67,56,72,21%,78%,50%,,,,,
144,28.33,64,140,35%,46%,41%,,,,,
148A,27.33,111,200,34%,56%,45%,,,,,
212,41.67,168,224,52%,75%,64%,,,,,
213,35,118,192,44%,61%,53%,,,,,
219,42.33,217,720,53%,30%,42%,,,,,
220,38.33,39,128,48%,30%,39%,,,,,
230,15,65,72,19%,90%,55%,,,,,
240,31.67,146,168,40%,87%,64%,,,,,
Perkins Library,6.67,20,20,8%,100%,54%,,,,,
206,6.67,20,20,8%,100%,54%,,,,,
Scott Theatre,33.33,75,100,42%,75%,59%,,,,,
Theatre,33.33,75,100,42%,75%,59%,,,,,
Wilson Math and Computer Sci Center,89,299,604,28%,50%,39%,,,,,
20,8.33,18,48,10%,38%,24%,,,,,
30,28.33,99,160,35%,62%,49%,,,,,
120,21.67,74,144,27%,51%,39%,,,,,
130,30.67,108,252,38%,43%,41%,,,,,
Grand Total,"1,321","4,516","8,049",34%,56%,45%,,,,,
