DataType,LocationID,Category,SubCategory,Score,Notes
"TechnicalAssessment","Gray Center","functionality","technology","0",""
"TechnicalAssessment","Gray Center","functionality","spaceSize","0",""
"TechnicalAssessment","Gray Center","functionality","telecomm","0",""
"TechnicalAssessment","Gray Center","functionality","fireAlarm","0",""
"TechnicalAssessment","Gray Center","architecture","entrances","0",""
"TechnicalAssessment","Gray Center","architecture","exterior","5",""
"TechnicalAssessment","Gray Center","architecture","interiorFinishes","0",""
"TechnicalAssessment","Gray Center","architecture","codesAndAccessibility","0",""
"TechnicalAssessment","Gray Center","architecture","lifeSafety","0",""
"TechnicalAssessment","Gray Center","engineering","superstructure","0",""
"TechnicalAssessment","Gray Center","engineering","mechanical","0",""
"TechnicalAssessment","Gray Center","engineering","fireProtection","0",""
"TechnicalAssessment","Gray Center","engineering","conveyingSystems","0",""
"TechnicalAssessment","Gray Center","engineering","lighting","0",""
"TechnicalAssessment","Gray Center","engineering","plumbing","0",""
"TechnicalAssessment","Gray Center","engineering","power","0",""

DataType,LocationID,ID,Type,Persona,Latitude,Longitude,Comment,PathCoordinatesJSON
"Marker","Taylor Hall Residence","00fcUK1qEcfesdSwPzvl","I do not feel safe in this space","student","40.592680097036606","-98.37471861614642","Mainly regarding the mold history and having lived here for a couple months prior, it's hard to feel like this dorm building is safe to be in when water instantly molds when left in a cup overnight.",
"Marker","Babcock Hall Residence","01NJIA3KUBXrC9oGMow1","I would like to use this space more, but it needs improvement","student","40.59313468443975","-98.37465395205179","I love living in Babcock! Only issue is that the temperature fluctuation is too unreliable to really love it. Plus there’s a spider in my windowsill and it scares me.",
"Marker","","01RQV9ZfrjMXJuq762kZ","This is one of my go-to study spots","student","40.59593982480905","-98.36529553445017","",
"Marker","","02RtiLyowjyzAeMwryNY","I rarely or never use this space","student","40.59690764596712","-98.36464729103551","",
"Marker","Hazelrigg Student Union","038X2m1H9OVwsMy8fEJY","This is one of my go-to study spots","student","40.59420096902187","-98.37317907845026","",
"Marker","Taylor Hall Residence","048cxG2CbQfNcDEbV272","This is one of my go-to study spots","student","40.59266872180598","-98.37466790988623","I loooove Taylor I adore the building and the older style",
"Marker","Jackson Dinsdale Art Center","059VhgeQknqq7Ol57n4u","This is one of my go-to study spots","student","40.59681462846086","-98.37319442554994","",
"Marker","Morrison-Reeves Science Center","05XHkF4hCBUkQuVV92k2","This is one of my go-to study spots","student","40.59111938800743","-98.37208609447949","",
"Marker","Lynn Farrell Arena/Fleharty Educational Center","07LiKEokcJV4GqcH6ibA","This space feels outdated or run-down","student","40.59588267391217","-98.37064462056163","",
"Marker","Scott Studio Theatre","07lzTebfuc3e7Z4Hjq2n","The technology in this space is inadequate or unreliable","staff","40.59227091542033","-98.37325023149305","",
"Marker","","07pawf6WaTU1cdk8Qymd","This space feels outdated or run-down","student","40.59247457609865","-98.37453252277983","",
"Marker","","08CShen7cbZfZOMbNK25","I would like to use this space more, but it needs improvement","student","40.59116282907732","-98.37095976912771","Give us more of an option to use the open space.",
"Marker","","08wYwhumVek2c8CZDJuK","I rarely or never use this space","student","40.590847817002526","-98.37333558385649","",
"Marker","Calvin H. French Memorial Chapel ","09eUKxBsqi6jyiwUuwEn","The lighting or temperature in thei space makes it uncomfortable","student","40.59162831727045","-98.37350405169268","",
